team,wins,losses,division,conference
BOSTON CELTICS,53,29,ATLANTIC,EASTERN
TORONTO RAPTORS,51,31,ATLANTIC,EASTERN
NEW YORK KNICKS,31,51,ATLANTIC,EASTERN
PHILADELPHIA 76ERS,28,54,ATLANTIC,EASTERN
BROOKLYN NETS,20,62,ATLANTIC,EASTERN
CLEVELAND CAVALIERS,51,31,CENTRAL,EASTERN
MILWAUKEE BUCKS,42,40,CENTRAL,EASTERN
INDIANA PACERS,42,40,CENTRAL,EASTERN
CHICAGO BULLS,41,41,CENTRAL,EASTERN
DETROIT PISTONS,37,45,CENTRAL,EASTERN
WASHINGTON WIZARDS,49,33,SOUTHEAST,EASTERN
ATLANTA HAWKS,43,39,SOUTHEAST,EASTERN
MIAMI HEAT,41,41,SOUTHEAST,EASTERN
CHARLOTTE HORNETS,36,46,SOUTHEAST,EASTERN
ORLANDO MAGIC,29,53,SOUTHEAST,EASTERN
UTAH JAZZ,51,31,NORTHWEST,
OKLAHOMA CITY THUNDER,47,35,NORTHWEST,
PORTLAND TRAIL BLAZERS,41,41,NORTHWEST,
DENVER NUGGETS,40,42,NORTHWEST,
MINNESOTA TIMBERWOLVES,31,51,NORTHWEST,
GOLDEN STATE WARRIORS,67,15,PACIFIC,WESTERN
LOS ANGELES CLIPPERS,51,31,PACIFIC,WESTERN
SACRAMENTO KINGS,32,50,PACIFIC,WESTERN
LOS ANGELES LAKERS,26,56,PACIFIC,WESTERN
PHOENIX SUNS,24,58,PACIFIC,WESTERN
SAN ANTONIO SPURS,61,21,SOUTHWEST,WESTERN
HOUSTON ROCKETS,55,27,SOUTHWEST,WESTERN
MEMPHIS GRIZZLIES,43,39,SOUTHWEST,WESTERN
NEW ORLEANS PELICANS,34,48,SOUTHWEST,WESTERN
DALLAS MAVERICKS,33,49,SOUTHWEST,WESTERN
